Key,Item Type,Publication Year,Author,1,Title,Fonte,TipoDoLink,TrataSobreGUI,Publication Title,AssuntoGUI,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
S67VGQHQ,book,2012,"Pfaff, Günther E.",2,"User Interface Management Systems: Proceedings of the Workshop on User Interface Management Systems held in Seeheim, FRG, November 1–3, 1983",GoogleSchollar,Periodico,,,,,,,https://books.google.com.br/books?hl=pt-BR&lr=&id=RN-pCAAAQBAJ&oi=fnd&pg=PA3&dq=graphical+user+interface+configuration&ots=9fGVfh6O0n&sig=aQoqIUdkAEHbirtvYVuZhp0slDc,,2012,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,,,,,,,User Interface Management Systems,,,,,Springer Science & Business Media,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/KR3IH434/books.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W8VZMK2S,journalArticle,2012,"Silvestro, Daniele; Michalak, Ingo",3,raxmlGUI: a graphical front-end for RAxML,,,,Organisms Diversity & Evolution,,,,,http://link.springer.com/article/10.1007/s13127-011-0056-0,,2012,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,335–337,,4,12,,,raxmlGUI,,,,,,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/SBPVM8U8/Silvestro e Michalak - 2012 - raxmlGUI a graphical front-end for RAxML.pdf; /home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/E23RFDTJ/s13127-011-0056-0.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D3JA94J,journalArticle,2013,"Ghahremani, Esmaeil; Kamwa, Innocent",4,Optimal placement of multiple-type FACTS devices to maximize power system loadability using a generic graphical user interface,,,,IEEE Transactions on Power Systems,,,,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6269908,,2013,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,764–778,,2,28,,,,,,,,,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/PK5NCJQ8/Ghahremani e Kamwa - 2013 - Optimal placement of multiple-type FACTS devices t.pdf; /home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/2KGIHDXJ/6269908.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZS7E2ZJU,journalArticle,2012,"Drummond, Alexei J.; Suchard, Marc A.; Xie, Dong; Rambaut, Andrew",5,Bayesian phylogenetics with BEAUti and the BEAST 1.7,,,,Molecular biology and evolution,,,,,http://mbe.oxfordjournals.org/content/29/8/1969.short,,2012,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,1969–1973,,8,29,,,,,,,,,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/AVCSCJ4F/1969.html; /home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/SG54SHII/1969.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VUQ9BU9J,journalArticle,2012,"Krug, Michael; Weiss, Manfred S.; Heinemann, Udo; Mueller, Uwe",6,XDSAPP: a graphical user interface for the convenient processing of diffraction data using XDS,,,,Journal of Applied Crystallography,,,,,http://scripts.iucr.org/cgi-bin/paper?kk5103,,2012,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,568–572,,3,45,,,XDSAPP,,,,,,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/IZXKK7FW/paper.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57XHZ8GF,journalArticle,2013,"Keshet, Aviv; Ketterle, Wolfgang",7,"A distributed, graphical user interface based, computer control system for atomic physics experiments",,,,Review of Scientific Instruments,,,,,http://scitation.aip.org/content/aip/journal/rsi/84/1/10.1063/1.4773536,,2013,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,15105,,1,84,,,,,,,,,,,,,,,Google Scholar,,,,"/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/6AHNBZ53/Keshet e Ketterle - 2013 - A distributed, graphical user interface based, com.pdf; /home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/3EQQC8HA/1.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9XMMU6S,journalArticle,2013,"Chen, Chen-Yuan; Shih, Bih-Yaw; Shih, Chia-Hung; Wang, Li-Hui",8,RETRACTED: Human–machine interface for the motion control of humanoid biped robots using a graphical user interface Motion Editor,,,,Journal of Vibration and Control,,,,,http://jvc.sagepub.com/content/19/6/814.short,,2013,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,814–820,,6,19,,,RETRACTED,,,,,,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/RJSKFT7T/814.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9DJK6BC9,journalArticle,2015,"Licari, Daniele; Baiardi, Alberto; Biczysko, Malgorzata; Egidi, Franco; Latouche, Camille; Barone, Vincenzo",9,Implementation of a graphical user interface for the virtual multifrequency spectrometer: The VMS-Draw tool,,,,Journal of computational chemistry,,,,,http://onlinelibrary.wiley.com/doi/10.1002/jcc.23785/full,,2015,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,321–334,,5,36,,,Implementation of a graphical user interface for the virtual multifrequency spectrometer,,,,,,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/QG2TISS9/full.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3G7CQBMQ,journalArticle,2013,"Suma, Evan A.; Krum, David M.; Lange, Belinda; Koenig, Sebastian; Rizzo, Albert; Bolas, Mark",10,Adapting user interfaces for gestural interaction with the flexible action and articulated skeleton toolkit,,,,Computers & Graphics,,,,,http://www.sciencedirect.com/science/article/pii/S0097849312001756,,2013,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,193–201,,3,37,,,,,,,,,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/HN5AU62Q/Suma et al. - 2013 - Adapting user interfaces for gestural interaction .pdf; /home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/GWGTC524/S0097849312001756.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6DBD2R8,conferencePaper,2016,"Tanci, Claudio; Tosti, Gino; Antolini, Elisa; Gambini, Giorgio F.; Bruno, Pietro; Canestrari, Rodolfo; Conforti, Vito; Lombardi, Saverio; Russo, Federico; Sangiorgi, Pierluca; others",11,Software design and code generation for the engineering graphical user interface of the ASTRI SST-2M prototype for the Cherenkov Telescope Array,,,,SPIE Astronomical Telescopes+ Instrumentation,,,,,http://proceedings.spiedigitallibrary.org/proceeding.aspx?articleid=2544460,,2016,2016-09-06 20:56:43,2016-09-06 20:56:43,2016-09-06 20:56:43,99133X–99133X,,,,,,,,,,,International Society for Optics and Photonics,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/R89M8WN4/proceeding.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
