type,id,author,editor,advisor,note,abstract,observaoes,GUI é o foco do estudo,ContextoProcessosDeNegocio,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,633323,Chad  Burkey,,,,"Graphical User Interfaces (GUIs) have become the standard way in which we interact with our computers and over the years and have greatly improved our computers' usability. However, as computational power becomes increasingly ubiquitous and becomes part of the environment around us, we find ourselves reaching the useful limits of the GUI. These limits are even more pronounced in new environments like the home where many of the tasks we need to perform would be difficult, inefficient, and awkward using a GUI. In an effort to develop a natural, intuitive interface for the home, we are developing a project called HomeLab, which is an agent-based, adaptive, sensing and responding home environment. This project represents a new breed of interface called an ""environmental interface."" We feel environmental interfaces are more natural because they more closely resemble the physical, social ""interface"" humans interact with in their daily lives. Fundamentally, environmental interfaces abandon the idea of a single concentrated interface such as we might associate with a computer screen, and instead treat the whole environment (a home in our example) as the interface, seamless and immediate. Not only do appliances, screens, chairs, etc. all act as input and output devices but the house itself is a distributed system of agents responding to us. Our former notions of interfaces were narrow and centralized in space because our computers were. In the age of ubiquitous computing the interface should be distributed and ubiquitous.","Limite das interfaces graficas, principalmente no lar ",GUI-he-Foco,Nao-ctx-home,Environmental Interfaces: HomeLab,47--48,,2,"environmental user interfaces, user interfaces",10.1145/633292.633323,,,,,,,2000,,CHI '00 Extended Abstracts on Human Factors in Computing Systems,CHI EA '00,,1-58113-248-4,"The Hague, The Netherlands",ACM,"New York, NY, USA"
article,1408762,Alistair D. N.  Edwards,,,,,,,,Keeping Up with Technology: Commentary on &Ldquo;Computers and People with Disabilities&Rdquo;,8:1--8:5,8,5,Interfaces,10.1145/1408760.1408762,ACM Trans. Access. Comput.,October 2008,1,2,,October,2008,1936-7228,,,,,,ACM,"New York, NY, USA"
article,2516580,Renate  H&#228;uslschmid and Klaus  Bengler and Cristina  Olaverri-Monreal,,,,,,,,Graphic Toolkit for Adaptive Layouts in In-vehicle User Interfaces,292--298,,7,"GUIs design, graphic elements, user interfaces",10.1145/2516540.2516580,,,,,,,2013,,Proceedings of the 5th International Conference on Automotive User Interfaces and Interactive Vehicular Applications,AutomotiveUI '13,,978-1-4503-2478-6,"Eindhoven, Netherlands",ACM,"New York, NY, USA"
article,1008066,Chuck  Leska and John  Rabung,,,,,,,,Learning O-O Concepts in CS I Using Game Projects,237--237,,1,"graphic user interfaces, java",10.1145/1007996.1008066,,,,,,,2004,,Proceedings of the 9th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '04,,1-58113-836-9,"Leeds, United Kingdom",ACM,"New York, NY, USA"
article,1008066,Chuck  Leska and John  Rabung,,,,,,,,Learning O-O Concepts in CS I Using Game Projects,237--237,,1,"graphic user interfaces, java",10.1145/1026487.1008066,SIGCSE Bull.,September 2004,36,3,,June,2004,0097-8418,,,,,,ACM,"New York, NY, USA"
article,325286,Mark  Green,,,,,,,,The University of Alberta User Interface Management System,205--213,,9,"human-computer interaction, user interface design, user interface management systems",10.1145/325165.325286,SIGGRAPH Comput. Graph.,Jul. 1985,19,3,,July,1985,0097-8930,,,,,,ACM,"New York, NY, USA"
article,325286,Mark  Green,,,,,,,,The University of Alberta User Interface Management System,205--213,,9,"human-computer interaction, user interface design, user interface management systems",10.1145/325334.325286,,,,,,,1985,,Proceedings of the 12th Annual Conference on Computer Graphics and Interactive Techniques,SIGGRAPH '85,,0-89791-166-0,,ACM,"New York, NY, USA"
article,2462161,Evan  Czaplicki and Stephen  Chong,,,,,,,,Asynchronous Functional Reactive Programming for GUIs,411--422,,12,"functional reactive programming, graphical user interfaces",10.1145/2499370.2462161,SIGPLAN Not.,June 2013,48,6,,June,2013,0362-1340,,,,,,ACM,"New York, NY, USA"
article,2462161,Evan  Czaplicki and Stephen  Chong,,,,,,,,Asynchronous Functional Reactive Programming for GUIs,411--422,,12,"functional reactive programming, graphical user interfaces",10.1145/2491956.2462161,,,,,,,2013,,Proceedings of the 34th ACM SIGPLAN Conference on Programming Language Design and Implementation,PLDI '13,,978-1-4503-2014-6,"Seattle, Washington, USA",ACM,"New York, NY, USA"
article,2732194,Trevor  Nelligan and Seth  Polsley and Jaideep  Ray and Michael  Helms and Julie  Linsey and Tracy  Hammond,,,,,,,,Mechanix: A Sketch-Based Educational Interface,53--56,,4,"computer-assisted instruction (cai), graphical user interfaces (gui), guides, interaction styles, user-centered design",10.1145/2732158.2732194,,,,,,,2015,,Proceedings of the 20th International Conference on Intelligent User Interfaces Companion,IUI Companion '15,,978-1-4503-3308-5,"Atlanta, Georgia, USA",ACM,"New York, NY, USA"
article,502759,Scott  McDermott and Junwei  Li and William  Bares,,,,,,,,Storyboard Frame Editing for Cinematic Composition,206--207,,2,"animation, graphical user interfaces",10.1145/502716.502759,,,,,,,2002,,Proceedings of the 7th International Conference on Intelligent User Interfaces,IUI '02,,1-58113-459-2,"San Francisco, California, USA",ACM,"New York, NY, USA"
article,1385622,Joey  Hagedorn and Joshua  Hailpern and Karrie G. Karahalios,,,,,,,,VCode and VData: Illustrating a New Framework for Supporting the Video Annotation Workflow,317--321,,5,"Graphical User Interfaces (GUI), annotation, video",10.1145/1385569.1385622,,,,,,,2008,,Proceedings of the Working Conference on Advanced Visual Interfaces,AVI '08,,978-1-60558-141-5,"Napoli, Italy",ACM,"New York, NY, USA"
article,1255006,Goro GO Otsubo,,,,,,,,Goromi-Web: Browsing for Unexpected Information on the Web,267--268,,2,"GUI, interface, internet, web",10.1145/1254960.1255006,,,,,,,2007,,Proceedings of the 6th ACM SIGCHI Conference on Creativity &Amp; Cognition,C&amp;C '07,,978-1-59593-712-4,"Washington, DC, USA",ACM,"New York, NY, USA"
article,151509,Martha R. Szczur and Sylvia B. Sheppard,,,,,,,,TAE Plus: Transportable Applications Environment Plus: A User Interface Development Environment,76--101,,26,"graphical user interfaces, prototyping, user interface development tools",10.1145/151480.151509,ACM Trans. Inf. Syst.,Jan. 1993,11,1,,January,1993,1046-8188,,,,,,ACM,"New York, NY, USA"
