"http://ieeexplore.ieee.org/search/searchresult.jsp?download-format=download-csv&bulkSetSize=2000&ranges%3D2011_2017_p_Publication_Year%26matchBoolean%3Dtrue%26searchField%3DSearch_All_Text%26queryText%3D%28%28%28%28%28%28%28%28%28%28Graphical+interface%29+OR+graphical+user+interface%29+OR+User-Computer%29+OR+User-Computer+Interfaces%29+OR+User+Computer+Interface%29+OR+Interface%29+OR+business+process%29+OR+BPM%29+OR+BPMS%29+OR+GUI%29",2016/09/30 15:38:18
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Let the Sun Shine","G. Byrd","North Carolina State University","Computer","","2016","49","7","94","97","Clemson University students designed an inexpensive sensor node and cloud computing infrastructure to collect real-time, localized solar irradiation data. This data can be used by consumers and utilities to predict the availability of solar-generated electricity and to manage its use.","0018-9162;00189162","","10.1109/MC.2016.205","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7503515","Student Design Showcase;cloud;education;green computing;renewable energy;solar energy","Business;Clouds;Computers;Distributed databases;Radiation effects;World Wide Web","cloud computing;power engineering computing;sensors;solar power stations;solar radiation","Clemson University students;cloud computing infrastructure;sensor node;solar irradiation data;solar-generated electricity","","","","","","","July 2016","","IEEE","IEEE Journals & Magazines"
"Identifying User Experience Dimensions for Mobile Incident Reporting in Urban Contexts","M. Winckler; C. Bach; R. Bernhaupt","ICS-IRIT, Universit&#233; Paul Sabatier, Toulouse Cedex, France","IEEE Transactions on Professional Communication","","2013","56","2","97","119","Research problem: Despite the increasing interests raised by incident reporting systems, it is still unclear what dimensions of user experience (UX) and other contextual factors should be taken into account for the various stages of declaring an incident using mobile-phone applications. Research questions: How do citizens perceive and describe urban incidents? What UX dimensions are important for reporting an incident with a mobile-phone application? What other (contextual) factors are important from the users' point of view when declaring incidents? Which of the UX dimensions and contextual factors are important when in the various phases during an incident declaration? Literature review: Overall, there is a lack of empirical research in the domain of incident reporting. In general, the UX dimensions-visual and aesthetic experience, emotion, stimulation, identification, meaning and value, and social relatedness/coexperience-are important when designing interactive systems. It also shows that incidents are related to the citizen's perception of the environment. Methodology: A triangulated method approach combining interviews, a survey of existing systems, and a model-based task analysis were applied. This allows us to present a generic task model for incident reporting with a detailed description of UX dimensions affected in the various subtasks. Results and conclusions: Our findings point out the effect of UX dimensions in the task engaged by users when reporting urban citizens. The overall UX is directly influenced by the perceived level of severity, inconvenience and involvement, the personal context, and the technological mobile context. We have found that while several UX dimensions are highly relevant, they are not equally distributed along the several subtasks that citizens engage when reporting incidents. This study shows that semistructured requirement interviews can provide information about UX dimensions and it highlights the importance of the identifi- ation of UX dimensions in early phases of the development process.","0361-1434;03611434","","10.1109/TPC.2013.2257212","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6524092","e-government;incident reporting;mobile services;service quality;smart phone;user experience (UX)","Electronic government;Smart phones","government data processing;interactive systems;mobile computing;smart phones;task analysis","UX dimensions;interactive systems;mobile incident reporting system;mobile-phone applications;model-based task analysis;semistructured requirement interviews;social relatedness-coexperience;triangulated method approach;user experience dimensions","","3","","50","","","June 2013","","IEEE","IEEE Journals & Magazines"
"Investment analysis of Information Security Management in Croatian seaports","S. Aksentijevi&#x0107;; E. Tijan; B. Hla&#x010D;a","Saipem Mediteran Usluge, Alda Colonnella 2, Rijeka, Croatia","MIPRO, 2012 Proceedings of the 35th International Convention","","2012","","","1464","1469","Existing models of Information Security Management Systems in seaports usually involve threat evaluation, vulnerability management and risk analysis. Threat evaluation is a catalogue based analysis, outlining various applicable protection levels related to architecture, hardware, software and personnel, aiming to standardize the information security management approach. Vulnerability analysis is attempting to evaluate organizational and technical aspects of all information security components in terms of their inherent flaws. Risk analysis combines both threat and vulnerability analysis in order to define countermeasures in an objective, measurable and sustainable way. However, very often all three possible approaches are devoid of economic and financial analysis of seaport information security investments. In this paper authors propose a combined model which includes both technical and financial approach to information security management and decision-making in Croatian Port Community Systems.","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6240883","","Decision making;Economics;Information security;Investments;Software","cataloguing;investment;organisational aspects;risk analysis;sea ports;security of data","Croatian Port Community Systems;Croatian seaports;catalogue based analysis;decision-making;economic analysis;financial analysis;information security components;information security management systems;investment analysis;organizational aspects;risk analysis;seaport information security investments;technical aspects;vulnerability analysis;vulnerability management","","0","","9","","","21-25 May 2012","","IEEE","IEEE Conference Publications"
"Introduction to the Special Issue: Content Strategy— A Unifying Vision","T. Batova; R. Andersen","Arizona State University, Polytechnic Campus, College of Letters and Sciences, Mesa, Arizona, USA","IEEE Transactions on Professional Communication","","2016","59","1","2","6","The papers in this special section focus on effective content strategies. As a unifying vision and action plan, content strategy brings together various specialized writing communities, including professional and technical communication, marketing communication, and web development, ideally breaking disciplinary silos and biases and promoting convergence of these four key dimensions of practice Component content management???an interdisciplinary area of practice that focuses on creating and managing information as small components rather than documents has brought significant changes to professional and technical communication work since 2008. One major change is the move toward integrating organizational and user-generated content as well as disciplines and departments, expertise and roles, and business processes and tools. As stakeholders with various backgrounds across organizational units increasingly work together to create and publish content components, they need a unifying approach that fulfills business goals, organization requirements, and user needs. Content strategy has been proposed as that unifying approach.","0361-1434;03611434","","10.1109/TPC.2016.2540727","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7448985","","Content management;Professional Communication;Stakeholders;Strategic planning;User-generated content;Writing","","","","","","18","","20160407","March 2016","","IEEE","IEEE Journals & Magazines"
"Prognosis: Cloudy with SAAS","B. Kraut","Univ. dipl. ing., Alcyone d.o.o., Maribor, Slovenia","MIPRO, 2012 Proceedings of the 35th International Convention","","2012","","","1456","1458","Most of the IT industry recognized the power of cloud and grid computing. Next generation of SAAS applications is already drastically increasing business performance and offers unimaginable information integration, fusing with new and existing applications, leveraging newest social communication platforms and professional services. This new wave of global IT infrastructure is rapidly changing the way the users work, think and collaborate. New web technologies like HTML5 and sophisticated JavaScript libraries are providing rich user interfaces which perform like classical desktop systems and in combination with scalable and flexible architecture open new possibilities for better, faster and more controlled integration of information sources. This brings some challenges and issues which must be addressed before potential information loss, security vulnerability or unintended sharing. How will next generation of software look like and where is it shifting to? Several answers are emerging, let's take a look.","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6240882","","Business;Clouds;Collaboration;Computer architecture;Service oriented architecture;User interfaces","Java;business data processing;cloud computing;grid computing;hypermedia markup languages;security of data;user interfaces","HTML5;IT industry;JavaScript libraries;SAAS;Web technologies;business performance;classical desktop systems;cloud computing;global IT infrastructure;grid computing;information integration;potential information loss;professional services;rich user interfaces;security vulnerability;social communication platforms;unintended sharing","","0","","3","","","21-25 May 2012","","IEEE","IEEE Conference Publications"
"Parallel FETI-DP for efficient EM analysis of general objects and antenna arrays","K. D. Zhang; J. M. Jin","Dept. of Electr. & Comput. Eng., Univ. of Illinois at Urbana-Champaign, Urbana, IL, USA","Electromagnetics in Advanced Applications (ICEAA), 2015 International Conference on","","2015","","","313","316","An efficient parallelization of the dual-primal finite-element tearing and interconnecting algorithm (FETI-DP) is presented for large-scale electromagnetic simulations. To reduce global reductions, iterative solvers with an iterating classical Gram-Schmidt (ICGS) scheme and a communication-avoiding (CA) approach are respectively implemented for the interface problem and the coarse corner problem. Based on the sparse pattern of the coarse system, a sparse preconditioner is developed to improve the convergence rate of the iterative solution. Two numerical examples are presented to demonstrate the scalability and capability of the method for modeling of general objects and antenna arrays.","","","10.1109/ICEAA.2015.7297126","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7297126","","Antenna arrays;Antenna radiation patterns;Computational modeling;Numerical models","antenna arrays;electromagnetic fields;finite element analysis","EM analysis;FETI-DP;ICGS scheme;antenna arrays;coarse system;communication-avoiding approach;dual-primal finite element tearing and interconnecting algorithm;iterating classical Gram-Schmidt scheme;iterative solvers;sparse pattern;sparse preconditioner","","","","8","","","7-11 Sept. 2015","","IEEE","IEEE Conference Publications"
"Development and Experimental Evaluation of a Prototype of the TF Secondary Quench Detection System for KSTAR Device","Y. O. Kim; H. Yonekawa; Y. Chu; K. P. Kim; I. S. Woo; J. I. Song; H. M. Lee; K. R. Park; H. J. Kim; Y. G. Park; W. S. Lee; J. H. Lee; Y. M. Kim","Korean Superconducting Tokamak Advanced Research Center, National Fusion Research Institute, Daejeon, South Korea","IEEE Transactions on Plasma Science","","2016","44","9","1758","1762","A prototype of the toroidal field (TF) secondary quench detection (SQD) system was developed and implemented with the Korea Superconducting Tokamak Advanced Research (KSTAR) device to carry out the design verification of the SQD. The SQD can detect a quench based on the change of absolute pressures (APs) and mass flow rates of helium in the cooling lines of the TF coils. If the primary quench detection system of the TF coils cannot detect a quench or the fast discharge of the TF coils cannot be carried out as planned, SQD should work to prevent the TF coils and the peripheral structures from severe damages. In addition, SQD should operate in the reliable and stable condition against the disturbances caused by the poloidal field coil discharge, plasma perturbation, and any faults of subsystems of the KSTAR device. The 2-out-of-3 (2oo3) voting configuration was applied to the SQD to enhance the reliability and stability of quench detection. The prototype SQD consists of AP and differential pressure transducers, signal interfaces, logic solvers, and interlock systems. All the transducers were selected from metallic types with no electronic circuit in order to reduce the failure rates caused by strong electromagnetic field and radiation around the tokamak. The transducers were installed in the manifolds of the helium inlet lines of the KSTAR TF coils. Their signals were amplified and compared with the reference voltage for quench decision in the signal interface unit. The quench signal generated by the signal interface unit was transmitted to the 2oo3 voting modules of the logic solvers. The design requirements of SQD were verified through testing the prototype SQD in the 2014 KSTAR campaign.","0093-3813;00933813","","10.1109/TPS.2016.2542863","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7448984","Component;pressure measurement;reliability;superconducting coils","Coils;Plasmas;Prototypes;Reliability;Superconducting magnets;Toroidal magnetic fields;Transducers","Tokamak devices;plasma electromagnetic wave propagation;plasma instability;plasma pressure;plasma toroidal confinement;pressure transducers;reliability","KSTAR TF coils;KSTAR device;Korea superconducting Tokamak advanced research;SQD;TF secondary quench detection system;absolute pressure change;differential pressure transducers;electromagnetic field;helium inlet lines;interlock systems;logic solvers;peripheral structures;plasma perturbation;poloidal field coil discharge;radiation around;signal interface unit;signal interfaces;toroidal field secondary quench detection system","","1","","","","20160407","Sept. 2016","","IEEE","IEEE Journals & Magazines"
"Theoretical Study of the Gate Leakage Current in Sub-10-nm Field-Effect Transistors","M. V. Fischetti; B. Fu; W. G. Vandenberghe","Department of Materials Science and Engineering, The University of Texas at Dallas, Richardson, TX, USA","IEEE Transactions on Electron Devices","","2013","60","11","3862","3869","Scaling field-effect transistors (FETs) with conventional semiconductor channels requires a reduction of the body or fin thickness or of the diameter of the nanowire (NW) channel. We present a theoretical study showing that the increase of the ground-state sub-band energy induced by the quantum confinement associated with this scaling results in a dramatic reduction of the barrier at the channel/gate-insulator interface, which causes an increase of the leakage current across the gate insulator. We have studied the problem using scaling rules extracted from the 2011 International Technology Roadmap for Semiconductors (ITRS)-Roadmap (finding them excessively relaxed) and using more strict scaling rules from the literature confirmed by simulations of 5-nm gate-length III-V FETs. Employing local empirical pseudopotentials to calculate the electronic structure of Si and InAs thin bodies, the leakage gate current in the ON-state is shown to reach worrisome values at gate lengths of about 5 nm. This suggests that 1-D channels (i.e., NWs), but especially channels based on intrinsically 2-D (e.g., graphene/graphane or transition-metals dichalcogenides) or 1-D (e.g., carbon nanotubes) structures, are required to push scaling toward the 5-nm node.","0018-9383;00189383","","10.1109/TED.2013.2280844","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606867","Gate leakage;quantum confinement;scaling","Field effect transistors;Hafnium compounds;Insulators;Leakage currents;Logic gates;Silicon;Tunneling","III-V semiconductors;elemental semiconductors;field effect transistors;indium compounds;leakage currents;nanowires;silicon","1D channels;ITRS-roadmap;InAs;International Technology Roadmap for Semiconductors roadmap;NW channel;Si;channel-gate-insulator interface;electronic structure;field-effect transistors;gate leakage current;gate-length III-V FETs;ground-state subband energy;local empirical pseudopotentials;nanowire channel;quantum confinement;scaling field-effect transistors;semiconductor channels;size 5 nm","","12","","35","","20130923","Nov. 2013","","IEEE","IEEE Journals & Magazines"
"A Survey of Intelligent Language Tutoring Systems","M. A. Emran; K. Shaalan","The British University in Dubai, Al-Buraimi University College, Oman","Advances in Computing, Communications and Informatics (ICACCI, 2014 International Conference on","","2014","","","393","399","Intelligent Languages Tutoring Systems (ILTSs) plays a significant role in evaluating students' answers through interaction with them. ILTSs implements Natural Language processing (NLP) techniques in order to allow free input of words and sentences. ILTSs have the capability of identifying the input errors and provide an immediate feedback along with the errors source. It has been observed that ILTSs were not surveyed intensively; the reason that motivates us to conduct this research. Some NLP recent trends such as Latent Sematic Analysis and entailment were demonstrated. Different ILTSs have been discussed with a dedicated section about the development of Arabic ILTSs. Arabic share many of its characteristics with Semitic and morphologically rich languages. In our presentation we point out new trends that have been emerged while conducting survey.","","","10.1109/ICACCI.2014.6968503","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6968503","Arabic Langauge;ILTS;ITS;Intelligent Language Tutoring systems;Natural Language Processing","Artificial intelligence;Computers;Educational institutions;Grammar;Natural language processing;Syntactics","intelligent tutoring systems;linguistics;natural language processing","Arabic ILTS;NLP techniques;entailment;intelligent language tutoring systems;latent sematic analysis;morphologically rich languages;natural language processing;semitic languages","","1","","40","","","24-27 Sept. 2014","","IEEE","IEEE Conference Publications"
"Mobile Banking - financial services technology","D. Lacmanovic; I. Lacmanovic; B. Markoski","Technical Faculty &#x201C;Mihajlo Pupin&#x201D; - Zrenjanin, Serbia","MIPRO, 2012 Proceedings of the 35th International Convention","","2012","","","1451","1455","The mobile and Internet market has been one of the fastest growing markets in the world and it is still growing at a rapid pace. This opens up new markets for financial institutions interested in offering value added services with reduction in cash usage and its associated costs. With mobile technology, banks can offer a wide range of services to their customers, transfer funds between accounts and will have immediate and full control over their finances or even performing stock trading while being in traffic. Mobile devices, due to their ability to provide services anytime and anywhere, have a high rate of penetration and potential to grow. This paper describes the basic concepts, services offered and technology which enables Mobile Banking.","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6240881","","Banking;Internet;Mobile communication;Online banking;Security;Smart phones","Internet;banking;customer services;mobile commerce;stock markets;transaction processing","Internet market;accounts funds transfer;cash usage;customers services;financial institutions;financial services technology;mobile banking;mobile devices;mobile market;mobile technology;stock trading;value added services","","0","","7","","","21-25 May 2012","","IEEE","IEEE Conference Publications"
